text,label
"Общительный, является по натуре экстравертом, смелый, самоотдающийся, стремящийся к победе, уверенный в себе, инициативный, эмоционально устойчивый, склонный к сотрудничеству, с высокой мотивацией и готовностью к риску, обладает лидерскими задатками, при этом открыт к командной работе и обладает способностью к сопереживанию", "Футбол"

"Общительный, является по натуре экстравертом, умеет работать в коллективе, умеет слушать партнёров и действовать ради общей цели, не устаёт от динамичной игры, любит движение и интенсивные нагрузки, энергичный и выносливый, умение быстро принимает решения, эмоционально устойчив, не теряет концентрацию в стрессе, справляется с давлением соревнований, ловкий и координированный, легко владеет телом, точно бросает и ловко обводит соперников, целеустремлённый и трудолюбивый, готов тренироваться, не боится трудностей, любит контакт и динамику, но избегает агрессии и жёсткой борьбы", "Гандбол"

"Общительный, экстраверт, спокоен под давлением и умеет собраться в трудный момент, точно знает на что способен, не теряется в стрессе, обладает силой воли, выдержкой и упорством, хорошо чувствует своё тело и чётко видит, что происходит вокруг, умеет управлять своими движениями даже в быстром темпе, запоминает движения визуально, быстро переключает внимание и принимает быстро решения", "Водное поло" 

"Коммуникабельный, активный, уравновешенный, стрессоустойчивый, инициативный, жизнерадостный, дисциплинированный, способный к командному взаимодействию, обладающий высокой реактивностью, пластичностью и силой воли, умеет управлять эмоциями, сохраняет собранность в динамичной обстановке, проявляет самоотдачу и устойчивость к помехам", "Волейбол"

"Является по натуре интровертом, больше сосредоточен на внутреннем мире, чем на общении, эмоционально уравновешенный и спокойный, с высокой способностью к самоконтролю и управлению вниманием, со склонностью к внутреннему фокусу, умением управлять энергией, работать с деталями и доверяет себе. Важны чёткие, реалистичные цели, разбитые на этапы, а внутренний диалог служит источником мотивации, а не самокритики, умеет сохранять спокойствие в стрессе, ориентироваться на собственные ощущения и обладать устойчивостью к монотоннее, что позволяет эффективно выполнять длительную работу", "Плавание"

"Обладает высокой концентрацией, умеет фокусироваться на одной задаче в течение длительного времени, эмоционально устойчив, чувствителен к деталям, способен выразить эмоции через движение, дисциплинирован и самоконтролен, готов к многолетнему труду, соблюдению режима и строгой технике, мотивирован на достижение высокого мастерства, а не просто на участие, умеет справляться со стрессом и публичностью; склонен к ритуалам и стабильности, предпочитает чёткий порядок в подготовке, чтобы избежать импровизации в ответственный момент, внешне сдержан, но внутренне выразителен, умеет «закрываться» от внешнего давления, но при этом раскрываться в выступлении", "Фигурное катание"

"Эмоционально устойчивый, добросовестный, уравновешенный, обладает высокой самодисциплиной, мотивирован изнутри, стремится к росту не ради похвалы, а ради личного преодоления, умеет концентрироваться на одном действии, устойчив к стрессу и неудача, не сдаётся после неудачного подхода, а анализирует и продолжает работать, обладает волей и решительностью, терпелив и методичен, понимает, что результат растёт годами, а не за неделю.", "Тяжелая атлетика"

"Стремится к новаторству и эксперименту, ответственность, самоконтроль, сила воли, чувствительность, склонность к новым переживаниям, артистический темперамент, обладает высокой концентрацией внимания и может мгновенно реагировать на действия соперника, эмоционально устойчив, аналитического склада ума и тактичен, склонен к риску, но разумно, готов идти на нестандартные решения, но не действует наобум, независим и инициативен, умеет принимать решения самостоятельно в условиях неопределённости, мотивирован на достижение успеха, а не на избегание поражения, стремится победить, а не просто «не проиграть», обладает адекватной самооценкой — знает свои сильные и слабые стороны и умеет ими управлять", "Фехтование"

"Умеет быстро анализировать обстановку и мгновенно принимать решения в динамичной игре, умеет «читать» действия соперника, точно оценивать пространство: где мяч, где партнёры, где свободная зона; спокоен под давлением и сохраняет концентрацию даже в напряжённых розыгрышах, работает в команде, но при этом самостоятелен — каждый игрок принимает решения за доли секунды, обладает развитым тактическим мышлением", "Волейбол"

"Спокойный, аналитического склада ума, стратегически мыслящий, усидчивый, эмоционально устойчивый, склонный к глубокому анализу, обладающий высокой концентрацией, самодисциплиной и терпением, предпочитает логику импульсу, планирование риску, внутреннюю работу внешней экспрессии", "Шахматы"

"Устойчивый, умеет распределять и переключать внимание и быстро ориентироваться в ситуации; также важно умение оценивать ситуацию, предвидеть дальнейший ход, способность выбирать правильное решение и быстро реализовать, высокие волевые качества: смелость, решительность, настойчивость, инициативность, выдержка и самообладание, коллективизм, когда действия каждого спортсмена подчинены общим задачам команды, когда для достижения победы очень важны: взаимопомощь и взаимовыручка, товарищеская поддержка", "Хоккей"

"Является экстравертом, эмоционально устойчивый, с высоким интеллектом и твёрдым характером; обладающему способностью к саморегуляции в условиях стресса, высокой мотивацией достижения успеха и умением принимать решения в условиях неопределённости. Важна целеустремлённость, решительность, способность брать на себя ответственность, а также рациональность, контроль и внутренняя дисциплина и умение управлять своими эмоциями", "Теннис"

"Самостоятельный, уравновешенный, решительный, критически мыслящий, независимый, устойчивый к стрессу, обладающий самоконтролем и способностью к глубокому партнёрскому взаимодействию с животным. Склонен к ответственности, доверчив, но не сентиментален, умеет принимать решения в условиях неопределённости", "Конный спорт"
